T_BKT,ordered_probability,amorphous_probability
1.0235276268804423,1e-06,0.999999
1.0235276268804423,6e-06,0.999994
1.0235276268804423,0.104771,0.895229
1.0235276268804423,0.000269,0.999731
1.0235276268804423,0.004049,0.995951
1.0235276268804423,0.403415,0.596585
1.0235276268804423,0.002199,0.997801
1.0235276268804423,9e-06,0.999991
1.0235276268804423,0.005649,0.994351
1.0235276268804423,0.518537,0.481463
1.0235276268804423,0.603449,0.396551
1.0235276268804423,1.6e-05,0.999984
1.0235276268804423,0.010218,0.989782
1.0235276268804423,0.005219,0.994781
1.0235276268804423,3.4e-05,0.999966
1.0235276268804423,4.2e-05,0.999958
1.0235276268804423,0.003933,0.996067
1.0235276268804423,0.001156,0.998844
1.0235276268804423,0.003564,0.996436
1.0235276268804423,0.0,1.0
1.0235276268804423,0.003562,0.996438
1.0235276268804423,0.00058,0.99942
1.0235276268804423,0.011223,0.988777
1.0235276268804423,5.7e-05,0.999943
1.0235276268804423,0.003438,0.996562
1.0235276268804423,0.003791,0.996209
1.0235276268804423,0.065846,0.934154
1.0235276268804423,0.001048,0.998952
1.0235276268804423,0.000613,0.999387
1.0235276268804423,0.000673,0.999327
1.0235276268804423,0.000232,0.999768
1.0235276268804423,0.983919,0.016081
1.0235276268804423,0.004171,0.995829
1.0235276268804423,0.000609,0.999391
1.0235276268804423,0.00037,0.99963
1.0235276268804423,0.112199,0.887801
1.0235276268804423,0.008496,0.991504
1.0235276268804423,0.000126,0.999874
1.0235276268804423,0.017098,0.982902
1.0235276268804423,1e-06,0.999999
1.0235276268804423,0.035395,0.964604
1.0235276268804423,0.004469,0.995531
1.0235276268804423,0.003063,0.996937
1.0235276268804423,1e-06,0.999999
1.0235276268804423,0.002467,0.997533
1.0235276268804423,0.168974,0.831026
1.0295276268804423,0.000203,0.999797
1.0295276268804423,2e-06,0.999998
1.0295276268804423,0.004701,0.995299
1.0295276268804423,2e-06,0.999998
1.0295276268804423,0.000409,0.999591
1.0295276268804423,0.003166,0.996834
1.0295276268804423,0.187637,0.812363
1.0295276268804423,0.442431,0.557569
1.0295276268804423,0.005375,0.994625
1.0295276268804423,0.001515,0.998485
1.0295276268804423,0.023469,0.976531
1.0295276268804423,0.100807,0.899193
1.0295276268804423,0.003653,0.996347
1.0295276268804423,0.000152,0.999848
1.0295276268804423,0.027393,0.972607
1.0295276268804423,0.936998,0.063002
1.0295276268804423,0.006252,0.993748
1.0295276268804423,2e-06,0.999998
1.0295276268804423,1.2e-05,0.999988
1.0295276268804423,0.002227,0.997773
1.0295276268804423,0.000927,0.999073
1.0295276268804423,0.000101,0.999899
1.0295276268804423,0.001603,0.998397
1.0295276268804423,0.002348,0.997652
1.0295276268804423,0.0,1.0
1.0295276268804423,0.002567,0.997433
1.0295276268804423,0.908091,0.091909
1.0295276268804423,1.2e-05,0.999988
1.0295276268804423,0.001651,0.998349
1.0295276268804423,0.138608,0.861392
1.0295276268804423,4e-06,0.999996
1.0295276268804423,0.00249,0.99751
1.0295276268804423,0.000992,0.999008
1.0295276268804423,0.00108,0.99892
1.0295276268804423,0.015589,0.984411
1.0295276268804423,9e-06,0.999991
1.0295276268804423,7e-06,0.999993
1.0295276268804423,0.119026,0.880974
1.0295276268804423,1.1e-05,0.999989
1.0295276268804423,1.9e-05,0.999982
1.0295276268804423,0.0,1.0
1.0295276268804423,0.019292,0.980708
1.0295276268804423,0.000271,0.999729
1.0295276268804423,0.000133,0.999867
1.0295276268804423,0.02905,0.97095
1.0295276268804423,0.389909,0.610091
1.0295276268804423,0.994094,0.005906
1.0295276268804423,0.137199,0.862801
1.0295276268804423,7.7e-05,0.999922
1.0295276268804423,0.165134,0.834866
1.0295276268804423,4e-06,0.999996
1.0295276268804423,1.2e-05,0.999988
1.0295276268804423,0.76055,0.23945
1.0295276268804423,0.000731,0.999269
1.0295276268804423,0.002139,0.997861
1.0295276268804423,0.000981,0.999019
1.0295276268804423,0.000377,0.999623
1.0295276268804423,0.000478,0.999522
1.0295276268804423,0.0,1.0
1.0295276268804423,0.004247,0.995753
1.0295276268804423,0.090019,0.909981
1.0295276268804423,0.005408,0.994592
1.0295276268804423,0.811512,0.188488
1.0295276268804423,0.000598,0.999402
1.0295276268804423,0.0104,0.9896
1.0295276268804423,0.082076,0.917924
1.0295276268804423,0.055505,0.944495
1.0295276268804423,4.9e-05,0.999951
1.0295276268804423,1.5e-05,0.999985
1.0295276268804423,0.001289,0.998711
1.0295276268804423,0.000899,0.999101
1.0295276268804423,0.346629,0.653371
1.0295276268804423,0.000128,0.999872
1.0295276268804423,0.003848,0.996152
1.0295276268804423,0.102889,0.897111
1.0295276268804423,0.3722,0.6278
1.0295276268804423,0.000167,0.999833
1.0295276268804423,0.00014,0.99986
1.0295276268804423,0.144428,0.855572
1.0295276268804423,9e-06,0.999991
1.0295276268804423,1e-06,1.0
1.0295276268804423,8e-06,0.999992
1.0295276268804423,0.399432,0.600568
1.0295276268804423,0.615218,0.384781
1.0295276268804423,0.000211,0.999789
1.0295276268804423,0.184148,0.815852
1.0295276268804423,0.006287,0.993713
1.0295276268804423,0.02437,0.97563
1.0295276268804423,0.119974,0.880026
1.0295276268804423,0.002735,0.997265
1.0295276268804423,0.004388,0.995612
1.0295276268804423,0.178575,0.821425
1.0295276268804423,0.001489,0.998511
1.0295276268804423,5e-05,0.99995
1.0295276268804423,0.930122,0.069878
1.0295276268804423,1e-05,0.99999
1.0295276268804423,0.995205,0.004795
1.0295276268804423,0.226941,0.773059
1.0295276268804423,0.025608,0.974392
1.0295276268804423,2e-06,0.999998
1.0355276268804423,0.000866,0.999134
1.0355276268804423,0.000228,0.999772
1.0355276268804423,0.003572,0.996428
1.0355276268804423,0.854642,0.145358
1.0355276268804423,1.5e-05,0.999985
1.0355276268804423,0.05118,0.94882
1.0355276268804423,0.006566,0.993434
1.0355276268804423,0.00069,0.99931
1.0355276268804423,7e-06,0.999993
1.0355276268804423,3.9e-05,0.999961
1.0355276268804423,0.00796,0.99204
1.0355276268804423,0.009258,0.990742
1.0355276268804423,0.003269,0.996731
1.0355276268804423,0.94694,0.05306
1.0355276268804423,0.00015,0.99985
1.0355276268804423,0.001374,0.998626
1.0355276268804423,0.0,1.0
1.0355276268804423,0.040163,0.959837
1.0355276268804423,1e-06,0.999999
1.0355276268804423,4.5e-05,0.999955
1.0355276268804423,0.043816,0.956184
1.0355276268804423,3.9e-05,0.999961
1.0355276268804423,0.010276,0.989724
1.0355276268804423,0.182226,0.817774
1.0355276268804423,0.0,1.0
1.0355276268804423,0.039295,0.960705
1.0355276268804423,0.006546,0.993454
1.0355276268804423,0.470979,0.529021
1.0355276268804423,8e-06,0.999992
1.0355276268804423,0.000678,0.999322
1.0355276268804423,0.002482,0.997518
1.0355276268804423,0.006214,0.993786
1.0355276268804423,2.8e-05,0.999972
1.0355276268804423,0.001542,0.998458
1.0355276268804423,0.262559,0.737441
1.0355276268804423,0.000394,0.999606
1.0355276268804423,0.034852,0.965148
1.0355276268804423,2e-06,0.999998
1.0355276268804423,5e-06,0.999996
1.0355276268804423,5.4e-05,0.999946
1.0355276268804423,0.003943,0.996057
1.0355276268804423,3e-06,0.999997
