# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
1.461122	-0.402206	0.000180	0.091968	0.001508
1.465932	-0.399561	0.000165	0.090576	0.001453
1.470741	-0.398896	0.000164	0.090089	0.001424
1.475551	-0.397613	0.000168	0.089453	0.001510
1.480361	-0.395481	0.000168	0.089222	0.001470
1.485170	-0.394856	0.000167	0.089825	0.001455
1.489980	-0.392046	0.000167	0.086887	0.001320
1.494790	-0.391051	0.000164	0.087152	0.001342
1.499599	-0.389791	0.000158	0.086539	0.001420
1.504409	-0.388530	0.000157	0.086271	0.001269
1.509218	-0.384784	0.000158	0.085903	0.001340
1.514028	-0.384665	0.000154	0.084623	0.001242
1.518838	-0.382907	0.000155	0.084196	0.001258
1.523647	-0.381087	0.000161	0.084694	0.001301
1.528457	-0.380082	0.000152	0.083780	0.001286
1.533267	-0.378401	0.000150	0.083438	0.001240
1.538076	-0.375902	0.000146	0.081119	0.001176
1.542886	-0.374648	0.000155	0.082305	0.001202
1.547695	-0.374210	0.000146	0.081264	0.001127
1.552505	-0.370997	0.000149	0.080373	0.001149
1.557315	-0.371194	0.000142	0.080220	0.001164
1.562124	-0.368374	0.000148	0.078769	0.001079
1.566934	-0.367456	0.000146	0.080603	0.001067
1.571743	-0.365344	0.000145	0.079485	0.001037
1.576553	-0.364684	0.000141	0.077928	0.001032
1.581363	-0.362827	0.000139	0.078575	0.001104
1.586172	-0.360249	0.000146	0.076171	0.000975
1.590982	-0.361391	0.000137	0.078483	0.001038
1.595792	-0.360341	0.000138	0.077247	0.001006
1.600601	-0.358178	0.000136	0.076866	0.000992
1.605411	-0.357356	0.000131	0.075222	0.001000
1.610220	-0.355785	0.000129	0.075557	0.000958
1.615030	-0.354339	0.000132	0.075295	0.000980
1.619840	-0.352733	0.000141	0.074699	0.000950
1.624649	-0.351224	0.000134	0.077041	0.000947
1.629459	-0.349424	0.000133	0.074430	0.000906
1.634269	-0.349422	0.000124	0.071783	0.000886
1.639078	-0.348266	0.000136	0.072800	0.000866
1.643888	-0.346997	0.000134	0.073963	0.000896
