L_16,L_32,L_64,L_128,L_256
1.138785,1.034515,1.003112,0.973529,0.972285
1.142729,1.040249,1.005463,0.975202,0.973567
1.128140,1.038224,1.003436,0.974903,0.973610
1.141272,1.040147,1.001257,0.977985,0.972035
1.141963,1.039956,1.003824,0.973074,0.971176
1.142615,1.040045,1.004795,0.974121,0.968983
1.138383,1.038167,1.003727,0.973475,0.971667
1.141531,1.037551,1.006351,0.973697,0.972184
1.137723,1.039788,1.004731,0.968877,0.975695
1.136577,1.037810,1.003972,0.970100,0.970973
1.151084,1.039049,1.003859,0.972771,0.973968
1.126757,1.038478,1.002910,0.974162,0.969580
1.142130,1.039286,1.007109,0.972830,0.974170
1.144924,1.037875,1.004312,0.970763,0.972950
1.145487,1.043664,1.004740,0.972492,0.966894
1.143822,1.043003,1.004713,0.974853,0.972357
1.118057,1.040063,1.001219,0.975597,0.971150
1.143030,1.029766,1.005842,0.973564,0.964318
1.140975,1.038526,1.005216,0.973440,0.969569
1.121253,1.038582,1.006233,0.973585,0.971766
1.140972,1.040117,1.005281,0.974749,0.970819
1.144960,1.034268,1.005285,0.976104,0.971311
1.141426,1.037977,1.003947,0.975433,0.972038
1.145829,1.041063,1.007050,0.972666,0.969246
1.141524,1.038586,1.005841,0.971850,0.971018
1.139641,1.038038,1.004276,0.969586,0.972747
1.140020,1.037029,1.006772,0.975589,0.965321
1.143366,1.034194,1.006973,0.974811,0.972490
1.140314,1.041562,1.003897,0.975870,0.966499
1.121412,1.040459,1.004660,0.971268,0.973699
1.141452,1.036059,1.004568,0.974856,0.971796
1.146673,1.040850,1.003748,0.974525,0.971587
1.141657,1.038389,1.006686,0.971859,0.973214
1.127282,1.040502,1.003624,0.976734,0.971231
1.145521,1.040926,1.007507,0.975678,0.974650
1.137656,1.039620,1.005704,0.971953,0.973709
1.146770,1.038382,1.007039,0.975098,0.972843
1.137267,1.040428,1.001487,0.968244,0.974531
1.138886,1.038051,1.008258,0.979128,0.974159
1.141500,1.032046,1.004983,0.970834,0.972563
1.140318,1.044485,1.003741,0.972782,0.970798
1.138684,1.039852,1.006822,0.977451,0.973141
1.146453,1.037617,1.004016,0.974269,0.972928
1.144382,1.039209,1.007423,0.970635,0.969933
1.141289,1.040653,1.003865,0.975112,0.971812
1.143008,1.038084,1.005647,0.972765,0.972742
1.142694,1.041573,1.004839,0.976080,0.973217
1.141168,1.037673,1.004183,0.969525,0.972751
1.140803,1.042434,1.008405,0.971318,0.973060
1.140018,1.034484,1.006472,0.975525,0.970716
1.146066,1.038460,1.004503,0.973623,0.974061
1.144099,1.037936,1.005169,0.974916,0.968579
1.141206,1.037987,1.004443,0.971552,0.972342
1.138821,1.041687,1.001779,0.972906,0.974716
1.138950,1.038644,1.002773,0.972543,0.970527
1.139474,1.040928,1.006280,0.972182,0.972508
1.148269,1.036743,1.005041,0.976490,0.967204
1.118661,1.039428,1.007789,0.970980,0.976056
1.142009,1.039538,1.006686,0.974675,0.967996
1.139016,1.042162,1.002703,0.976497,0.971156
1.141548,1.035834,1.006223,0.977954,0.974501
1.140723,1.043286,1.005715,0.973271,0.973852
1.144995,1.041666,1.007536,0.975313,0.970357
1.141993,1.038826,1.003627,0.974056,0.971929
1.141151,1.037370,1.006422,0.977096,0.968238
1.141190,1.039611,1.003218,0.971052,0.969380
1.148485,1.039466,1.007645,0.975050,0.972118
1.141222,1.039574,1.004784,0.974247,0.973991
1.140030,1.041239,1.005817,0.975279,0.972995
1.147219,1.032193,1.004074,0.973426,0.971318
1.127561,1.037884,1.005294,0.979341,0.971800
1.138901,1.040425,1.003121,0.974358,0.976939
1.143207,1.040073,1.002573,0.974768,0.972922
1.138078,1.034912,1.005068,0.974131,0.971124
1.142482,1.037920,1.002225,0.967837,0.973841
1.143709,1.042112,1.003800,0.975149,0.972488
1.142742,1.038648,1.003976,0.970837,0.968061
1.139804,1.041032,1.003969,0.976201,0.972195
1.142365,1.042026,1.008028,0.971749,0.967452
1.145017,1.039116,1.006676,0.977110,0.970441
1.141678,1.038869,1.002775,0.972079,0.975457
1.141959,1.037284,1.005182,0.970367,0.974504
1.141705,1.041335,1.007739,0.969446,0.971466
1.141787,1.038090,1.003387,0.975001,0.970479
1.142865,1.037020,1.007112,0.974656,0.971075
1.143197,1.038560,1.005760,0.976063,0.975746
1.141707,1.038361,1.006381,0.972375,0.969874
1.144332,1.040970,1.004185,0.976415,0.971050
1.143190,1.036786,1.003245,0.971223,0.972488
1.121681,1.040298,1.003840,0.972693,0.973910
1.141779,1.040449,1.007669,0.966085,0.969376
1.145236,1.036275,1.005919,0.971716,0.969955
1.137461,1.040568,1.002247,0.977944,0.974334
1.140368,1.038729,1.006540,0.979277,0.972359
1.126488,1.039683,1.004222,0.976757,0.969365
1.126493,1.035731,1.006322,0.977636,0.972642
1.138541,1.037266,1.001403,0.976424,0.972255
1.138524,1.040471,1.003602,0.972290,0.972371
1.143140,1.044129,1.006319,0.971642,0.973678
1.148272,1.044589,1.002290,0.969298,0.973953
1.142851,1.037802,1.002333,0.971854,0.974000
1.143228,1.040826,1.006094,0.975318,0.973177
1.119533,1.043873,1.007307,0.969796,0.970648
1.142866,1.037410,1.003173,0.975363,0.972072
1.145210,1.038825,1.006713,0.965679,0.972100
1.141148,1.037143,1.003692,0.973336,0.975676
1.142201,1.037313,1.005458,0.974007,0.974618
1.140670,1.034617,1.006306,0.973913,0.972132
1.131716,1.039757,1.007896,0.975390,0.970926
1.147238,1.039415,1.004000,0.972623,0.972323
1.139915,1.035604,1.005397,0.972927,0.975182
1.140127,1.041009,1.005613,0.975123,0.972397
1.137744,1.041803,1.003231,0.977268,0.976771
1.119549,1.040832,1.003843,0.975693,0.972614
1.142595,1.037344,1.006571,0.971048,0.960837
1.123178,1.039338,1.003687,0.970859,0.974992
1.138098,1.036852,1.007017,0.975528,0.959622
1.138014,1.039225,1.006355,0.975143,0.977537
1.137622,1.039749,1.005349,0.974162,0.974033
1.143319,1.039046,1.007547,0.975887,0.970396
1.144495,1.038877,1.004620,0.975599,0.968549
1.120348,1.042240,1.004467,0.975603,0.973581
1.141852,1.040188,1.003913,0.972586,0.970810
1.145736,1.038819,1.008856,0.976645,0.974178
1.141590,1.041690,1.008499,0.975389,0.974534
1.139648,1.042775,1.007022,0.970055,0.973279
1.143863,1.038617,1.005022,0.969267,0.969531
1.136900,1.035920,1.004108,0.974971,0.971882
1.136248,1.036441,1.007641,0.975969,0.973619
1.142581,1.038445,1.007022,0.976178,0.962521
1.146712,1.037526,1.003817,0.972414,0.968505
1.145141,1.024982,1.003997,0.976661,0.972135
1.133531,1.038545,1.002926,0.969961,0.970699
1.140796,1.037815,1.005223,0.971046,0.972611
1.146812,1.041521,1.006580,0.979450,0.970994
1.141161,1.042090,1.004736,0.971583,0.964777
1.140871,1.038941,1.007114,0.974741,0.973126
1.144872,1.039814,1.005538,0.973238,0.976326
1.136007,1.043270,1.006297,0.972243,0.968818
1.142932,1.036186,1.006659,0.973645,0.975772
1.138036,1.040528,1.004666,0.974447,0.970850
1.143549,1.032065,1.003136,0.974709,0.973157
1.136787,1.039059,1.008081,0.975537,0.971733
1.139719,1.036590,1.006338,0.965445,0.971647
1.140690,1.038579,1.002481,0.976115,0.966833
1.142730,1.043175,1.006122,0.976029,0.973478
1.142014,1.039800,1.007851,0.975661,0.974211
1.142010,1.025274,1.002491,0.977559,0.974603
1.138625,1.038526,1.006720,0.976401,0.968665
1.136311,1.041449,1.004501,0.973883,0.971758
1.135355,1.040699,1.008010,0.971270,0.970689
1.142573,1.033997,1.004345,0.977352,0.973748
1.143101,1.037151,1.004390,0.973037,0.970090
1.120498,1.035878,1.002627,0.976002,0.971439
1.138868,1.037413,1.004347,0.974778,0.970780
1.146272,1.038619,1.005659,0.976552,0.969337
1.141028,1.038177,1.005585,0.977622,0.972508
1.149301,1.037149,1.004756,0.977267,0.973017
1.140835,1.033762,1.004933,0.976744,0.975038
1.140000,1.036890,1.003496,0.969475,0.970924
1.146130,1.036270,1.008526,0.974553,0.968729
1.141852,1.037799,1.007691,0.974791,0.971204
1.141207,1.036203,1.002976,0.968643,0.974432
1.140274,1.038834,1.004895,0.973856,0.975878
1.140166,1.039305,1.004127,0.971782,0.970533
1.145134,1.041511,1.005790,0.973717,0.972849
1.141326,1.039710,1.007479,0.973905,0.970470
1.139090,1.046688,1.004281,0.973304,0.971947
1.141275,1.041797,1.004204,0.973041,0.972635
1.142950,1.039828,1.003109,0.976979,0.970111
1.143207,1.039429,1.006534,0.974984,0.970656
1.141621,1.037349,1.006290,0.973390,0.969953
1.139139,1.041493,1.008243,0.976225,0.975704
1.143485,1.037713,1.003882,0.977493,0.972802
1.141520,1.039327,1.004546,0.973089,0.970020
1.137720,1.039492,1.004862,0.971623,0.972758
1.138590,1.040608,1.004262,0.972007,0.972607
